Epoch,Loss
0,32.41651099868025
1,32.28956978444279
2,32.16313913273541
3,32.03721371518005
4,31.91179150985037
5,31.786870502935443
6,31.662448688725007
7,31.53852406957064
8,31.41509465584533
9,31.292158465913143
10,31.16971352609982
11,31.047757870654664
12,30.926289541713338
13,30.80530658927585
14,30.684807071165938
15,30.564789052995657
16,30.44525060814268
17,30.32618981771342
18,30.207604770503238
19,30.08949356296946
20,29.971854299202416
21,29.854685090888427
22,29.737984057289662
23,29.621749325201083
24,29.50597902891652
25,29.390671310204993
26,29.27582431828173
27,29.161436209773946
28,29.047505148687275
29,28.934029306380864
30,28.821006861531064
31,28.708436000105863
32,28.596314915332602
33,28.484641807671057
34,28.373414884779507
35,28.262632361486798
36,28.152292459763128
37,28.042393408691748
38,27.93293344443697
39,27.82391081021744
40,27.715323756275904
41,27.60717053985012
42,27.499449425145325
43,27.39215868330536
44,27.285296592385816
45,27.178861437321487
46,27.072851509903575
47,26.967265108747558
48,26.86210053926705
49,26.75735611364583
50,26.653030150808046
51,26.549120976395148
52,26.445626922735798
53,26.3425463288184
54,26.239877540263347
55,26.137618909298286
56,26.035768794730675
57,25.93432556191919
58,25.83328758275021
59,25.73265323560705
60,25.63242090534573
61,25.532588983269868
62,25.4331558671019
63,25.3341199609599
64,25.23547967532826
65,25.13723342703484
66,25.039379639223984
67,24.94191674133099
68,24.844843169056773
69,24.748157364343058
70,24.651857775347437
71,24.555942856412564
72,24.46041106804651
73,24.36526087690071
74,24.270490755735615
75,24.17609918340407
76,24.082084644823254
77,23.98844563095222
78,23.895180638765762
79,23.802288171230355
80,23.709766737279757
81,23.617614851790645
82,23.52583103555941
83,23.434413815280227
84,23.343361723516495
85,23.25267329867973
86,23.16234708500582
87,23.072381632534594
88,22.982775497077533
89,22.893527240200264
90,22.804635429202403
91,22.716098637089242
92,22.62791544255047
93,22.540084429939178
94,22.452604189247147
95,22.36547331608199
96,22.278690411643186
97,22.192254082702007
98,22.106162941576798
99,22.02041560611333
